id,price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage,prefer
55,380,3630,3,3,2,no,yes,no,no,no,0,no
56,250,3620,2,1,1,yes,no,no,no,no,0,no
57,252.45,2400,3,1,1,no,no,no,no,no,0,no
58,560,7260,3,2,1,yes,yes,yes,no,no,3,no
59,355,4400,3,1,2,yes,no,no,no,no,0,no
60,300,2400,3,1,2,yes,no,no,no,no,0,no
61,480,4120,2,1,2,yes,no,no,no,no,0,no
62,480,4750,2,1,1,yes,no,no,no,no,0,no
63,520,4280,2,1,1,yes,no,no,no,yes,2,no
64,540,4820,3,1,2,yes,no,no,no,no,0,no
65,560,5500,4,1,2,yes,yes,yes,no,no,0,no
66,600,5500,3,1,2,yes,no,no,no,yes,0,no
67,600,5040,3,1,2,yes,no,yes,no,yes,0,no
68,670,6000,2,1,1,yes,no,yes,no,yes,1,no
69,470,2500,2,1,1,no,no,no,no,yes,0,no
70,700,4095,3,1,2,no,yes,yes,no,yes,0,no
71,450,4095,2,1,1,yes,no,no,no,no,2,no
72,510,3150,3,1,2,yes,no,yes,no,no,0,no
73,325,1836,2,1,1,no,no,yes,no,no,0,no
74,340,2475,3,1,2,yes,no,no,no,no,0,no
75,350,3210,3,1,2,yes,no,yes,no,no,0,no
76,360,3180,3,1,1,no,no,no,no,no,0,no
77,450,1650,3,1,2,no,no,yes,no,no,0,no
78,470,3180,4,1,2,yes,no,yes,no,yes,0,no
79,550,3180,2,2,1,yes,no,yes,no,no,2,no
80,639,6360,2,1,1,yes,no,yes,no,yes,1,no
81,500,4240,3,1,2,yes,no,no,no,yes,0,no
82,350,3240,2,1,1,no,yes,no,no,no,1,no
83,500,3650,3,1,2,yes,no,no,no,no,0,no
84,430,3240,3,1,2,yes,no,no,no,no,2,no
85,555,3780,2,1,2,yes,yes,yes,no,no,0,no
86,570,6480,3,1,2,no,no,no,no,yes,1,no
87,600,5850,2,1,1,yes,yes,yes,no,no,2,no
88,780,3150,3,2,1,yes,yes,yes,no,yes,0,no
89,350,3000,2,1,1,yes,no,no,no,no,1,no
90,440,3090,2,1,1,yes,yes,yes,no,no,0,no
91,470,6060,3,1,1,yes,yes,yes,no,no,0,no
92,580,5900,4,2,2,no,no,yes,no,no,1,no
93,1630,7420,4,1,2,yes,yes,yes,no,yes,2,no
94,1280,8500,3,2,4,yes,no,no,no,yes,2,no
95,1235,8050,3,1,1,yes,yes,yes,no,yes,1,no
96,390,6800,2,1,1,yes,no,no,no,no,0,no
97,539,8250,3,1,1,yes,no,no,no,no,2,no
98,599,8250,3,1,1,yes,no,yes,no,no,3,no
99,350,3500,2,1,1,yes,yes,no,no,no,0,no
100,430,2835,2,1,1,yes,no,no,no,no,0,no
101,570,4500,3,2,2,no,no,yes,no,yes,0,no
102,790,3300,3,3,2,yes,no,yes,no,no,0,no
103,1250,4320,3,1,2,yes,no,yes,yes,no,2,no
104,1320,3500,4,2,2,yes,no,no,yes,no,2,no
105,580,4992,3,2,2,yes,no,no,no,no,2,no
106,430,4600,2,1,1,yes,no,no,no,no,0,no
107,480,3720,2,1,1,no,no,no,no,yes,0,no
108,585,3680,3,2,2,yes,no,no,no,no,0,no
109,730,3000,3,2,2,yes,yes,yes,no,no,0,no
110,635,3750,2,1,1,yes,yes,yes,no,no,0,no
111,430,5076,3,1,1,no,no,no,no,no,0,no
112,465,4500,2,1,1,no,no,no,no,no,0,no
113,920,5000,3,1,2,yes,no,no,no,yes,0,no
114,750,4260,4,1,2,yes,no,yes,no,yes,0,no
115,750,6540,4,2,2,no,no,no,no,yes,0,no
116,850,3700,4,1,2,yes,yes,no,no,yes,0,no
117,930,3760,3,1,2,yes,no,no,yes,no,2,no
118,945,4000,3,2,2,yes,no,yes,no,yes,1,no
119,1065,4300,3,2,2,yes,no,yes,no,no,1,no
120,1160,6840,5,1,2,yes,yes,yes,no,yes,1,no
121,615,4400,2,1,1,yes,no,no,no,no,1,no
122,800,10500,4,2,2,yes,no,no,no,no,1,no
123,370,4400,2,1,1,yes,no,no,no,no,0,no
124,595,4840,3,1,2,yes,no,no,no,no,1,no
125,700,4120,2,1,1,yes,no,yes,no,no,1,no
126,950,4260,4,2,2,yes,no,no,yes,no,0,no
127,1170,5960,3,3,2,yes,yes,yes,no,no,1,no
128,1225,8800,3,2,2,yes,no,no,no,yes,2,no
129,1235,4560,3,2,2,yes,yes,yes,no,yes,1,no
130,1270,4600,3,2,2,yes,yes,no,no,yes,2,no
131,350,4840,2,1,2,yes,no,no,no,no,0,no
132,445,3850,3,1,2,yes,no,no,no,no,0,no
133,499,4900,3,1,2,no,no,no,no,no,0,no
134,505,3850,3,1,1,yes,no,no,no,no,2,no
135,650,3760,3,1,1,yes,no,no,no,no,2,no
136,900,6000,4,2,4,yes,no,no,no,no,1,no
137,460,4370,3,1,2,yes,no,no,no,no,0,no
138,350,7700,2,1,1,yes,no,no,no,no,0,no
139,265,2990,2,1,1,no,no,no,no,no,1,no
140,430,3750,3,1,2,yes,no,no,no,no,0,no
141,560,3000,3,1,2,yes,no,no,no,no,0,no
142,400,2650,3,1,2,yes,no,yes,no,no,1,no
143,510,4500,4,2,2,yes,no,yes,no,no,2,no
144,510,4500,2,1,1,no,no,no,no,no,0,no
145,572.5,4500,3,1,2,no,no,yes,no,yes,0,no
146,440,4500,2,1,2,yes,no,no,yes,no,1,no
147,610,2175,3,1,2,no,yes,yes,no,yes,0,no
148,620,4500,3,2,3,yes,no,no,yes,no,1,no
149,800,4800,5,2,3,no,no,yes,yes,no,0,no
150,500,4600,4,1,2,yes,no,no,no,no,0,no
151,599,3450,3,1,2,yes,no,no,no,no,1,no
152,355,3000,3,1,2,no,no,no,no,no,0,no
153,370,3600,2,2,2,yes,no,yes,no,no,1,no
154,420,3600,3,1,2,no,no,no,no,no,1,no
155,480,3750,3,1,1,yes,no,no,no,no,0,no
156,600,2610,4,3,2,no,no,no,no,no,0,no
157,600,2953,3,1,2,yes,no,yes,no,yes,0,no
158,600,2747,4,2,2,no,no,no,no,no,0,no
159,620,1905,5,1,2,no,no,yes,no,no,0,no
160,630,3968,3,1,2,no,no,no,no,no,0,no
161,639,3162,3,1,2,yes,no,no,no,yes,1,no
162,1300,6000,4,1,2,yes,no,yes,no,no,2,no
163,250,2910,3,1,1,no,no,no,no,no,0,no
164,500,2135,3,2,2,no,no,no,no,no,0,no
165,529,3120,3,1,2,no,no,yes,yes,no,0,no
166,620,4075,3,1,1,yes,yes,yes,no,no,2,no
167,735,3410,3,1,2,no,no,no,no,yes,0,no
168,380,2800,3,1,1,yes,no,no,no,no,0,no
169,460,2684,2,1,1,yes,no,no,no,yes,1,no
170,480,3100,3,1,2,no,no,yes,no,no,0,no
171,525,3630,2,1,1,yes,no,yes,no,no,0,no
172,320,1950,3,1,1,no,no,no,yes,no,0,no
173,380,2430,3,1,1,no,no,no,no,no,0,no
174,460,4320,3,1,1,no,no,no,no,no,1,no
175,500,3036,3,1,2,yes,no,yes,no,no,0,no
176,575,3630,3,2,2,yes,no,no,yes,no,2,no
177,700,5400,4,1,2,yes,no,no,no,no,0,no
178,699,3420,4,2,2,yes,no,yes,no,yes,2,no
179,745,3180,3,2,2,yes,no,no,no,no,2,no
180,420,3660,4,1,2,no,no,no,no,no,0,no
181,600,4410,2,1,1,no,no,no,no,no,1,no
182,500,3990,3,1,2,yes,no,no,no,no,0,no
183,580,4340,3,1,1,yes,no,no,no,no,0,no
184,639,3510,3,1,2,yes,no,no,no,no,0,no
185,280,3420,5,1,2,no,no,no,no,no,0,no
186,540,3420,2,1,2,yes,no,no,yes,no,1,no
187,447,5495,3,1,1,yes,no,yes,no,no,0,no
188,470,3480,4,1,2,no,no,no,no,no,1,no
189,500,7424,3,1,1,no,no,no,no,no,0,no
190,572.5,3460,4,1,2,yes,no,no,no,yes,0,no
191,670,3630,3,1,2,yes,no,no,no,no,2,no
192,525,3630,2,1,1,yes,no,no,no,yes,0,no
193,420,3480,3,1,2,no,no,no,no,no,1,no
194,575,3460,3,2,1,yes,no,yes,no,yes,1,no
195,330,3180,2,1,1,yes,no,no,no,no,0,no
196,344,3635,2,1,1,no,no,no,no,no,0,no
197,400,3960,3,1,1,yes,no,no,no,no,0,no
198,405,4350,3,1,2,no,no,no,yes,no,1,no
199,465,3930,2,1,1,no,no,no,no,no,0,no
200,520,3570,3,1,2,yes,no,yes,no,no,0,no
201,530,3600,3,1,1,yes,no,no,no,no,1,no
202,539,2520,5,2,1,no,no,yes,no,yes,1,no
203,500,3480,3,1,1,no,no,no,no,yes,0,no
204,555,3180,4,2,2,yes,no,no,no,no,0,no
205,560,3290,2,1,1,yes,no,no,yes,no,1,no
206,600,4000,4,2,2,no,no,no,no,no,0,no
207,600,2325,3,1,2,no,no,no,no,no,0,no
208,695,4350,2,1,1,yes,no,yes,no,no,0,no
209,720,3540,2,1,1,no,yes,yes,no,no,0,no
210,925,3960,3,1,1,yes,no,yes,no,no,2,no
211,405,2640,2,1,1,no,no,no,no,no,1,no
212,420,2700,2,1,1,no,no,no,no,no,0,no
213,479,2700,3,1,1,no,no,no,no,no,0,no
214,520,3180,3,1,2,no,no,yes,no,no,0,no
215,620,3500,4,1,2,yes,no,no,no,no,2,no
216,410,3630,2,1,1,yes,no,no,no,no,0,no
217,1383,6000,4,3,2,yes,yes,yes,yes,no,2,no
218,420,3150,3,1,2,no,no,no,no,no,0,no
219,470,3792,4,1,2,yes,no,no,no,no,0,no
220,645,3510,3,1,3,yes,no,no,no,no,0,no
221,460,3120,3,1,2,no,no,no,no,no,0,no
222,580,3000,4,1,3,yes,no,yes,no,yes,2,no
223,701,4200,3,1,2,yes,no,no,no,no,1,no
224,785,2817,4,2,2,no,yes,yes,no,no,1,no
225,872.5,3240,4,1,3,yes,no,no,no,no,1,no
226,708,2800,3,2,2,no,no,yes,no,yes,1,no
227,560,3816,2,1,1,yes,no,yes,no,yes,2,no
228,480,3185,2,1,1,yes,no,yes,no,no,2,no
229,680,6321,3,1,2,yes,no,yes,no,yes,1,no
230,790,3650,3,2,2,yes,no,no,no,no,2,no
231,800,4700,4,1,2,yes,yes,yes,no,yes,1,no
232,870,6615,4,2,2,yes,yes,no,yes,no,1,no
233,250,3850,3,1,2,yes,no,no,no,no,0,no
234,325,3970,1,1,1,no,no,no,no,no,0,no
235,360,3000,2,1,2,yes,no,no,no,no,0,no
236,425,4352,4,1,2,no,no,no,no,no,1,no
237,430,3630,4,1,2,yes,no,no,no,no,3,no
238,500,3600,6,1,2,yes,no,no,no,no,1,no
239,260,3000,2,1,1,yes,no,yes,no,no,2,no
240,300,3000,4,1,2,yes,no,no,no,no,0,no
241,340,2787,4,2,2,yes,no,no,no,no,0,no
242,520,3000,2,1,2,yes,no,no,no,yes,0,no
243,700,4770,3,1,1,yes,yes,yes,no,no,0,no
244,270,3649,2,1,1,yes,no,no,no,no,0,no
245,325,3970,3,1,2,yes,no,yes,no,no,0,no
246,372,2910,2,1,1,no,no,no,no,no,0,no
247,380,3480,2,1,1,yes,no,no,no,no,1,no
248,420,6615,3,1,2,yes,no,no,no,no,0,no
249,445,3500,2,1,1,yes,no,no,no,no,0,no
250,450,3450,3,1,2,yes,no,yes,no,no,0,no
251,485,3450,3,1,1,yes,no,yes,no,no,2,no
252,520,3520,2,2,1,yes,no,yes,no,no,0,no
253,539,6930,4,1,2,no,no,no,no,no,1,no
254,600,4600,3,2,2,yes,no,no,no,yes,1,no
255,610,4360,4,1,2,yes,no,no,no,no,0,no
256,645,3450,3,1,2,yes,no,yes,no,no,1,no
257,710,4410,4,3,2,yes,no,yes,no,no,2,no
258,755,4600,2,2,1,yes,no,no,no,yes,2,no
259,335,3640,2,1,1,yes,no,no,no,no,0,no
260,410,6000,2,1,1,yes,no,no,no,no,0,no
261,410,5400,4,1,2,yes,no,no,no,no,0,no
262,462,3640,4,1,2,yes,no,yes,no,no,0,no
263,485,3640,2,1,1,yes,no,no,no,no,0,no
264,489,4040,2,1,1,yes,no,no,no,no,0,no
265,500,3640,2,1,1,yes,no,no,no,no,1,no
266,510,3640,2,1,1,yes,no,no,no,no,0,no
267,525,5640,2,1,1,no,no,no,no,no,0,no
268,525,3600,2,1,1,yes,no,no,no,no,0,no
269,540,3600,2,1,1,yes,no,no,no,no,0,no
270,590,4632,4,1,2,yes,no,no,no,yes,0,no
271,600,3640,3,2,2,yes,no,yes,no,no,0,no
272,630,4900,2,1,2,yes,no,yes,no,no,0,no
273,640,4510,4,1,2,yes,no,no,no,yes,2,no
274,649,4100,2,2,1,yes,yes,yes,no,no,0,no
275,650,3640,3,1,2,yes,no,no,no,yes,0,no
276,660,5680,3,1,2,yes,yes,no,no,yes,1,no
277,700,6300,3,1,1,yes,no,no,no,yes,2,no
278,655,4000,3,1,2,yes,no,no,no,no,1,no
279,570,3960,3,1,2,yes,no,no,no,no,0,no
280,520,5960,3,1,2,yes,yes,yes,no,no,0,no
281,540,5830,2,1,1,yes,no,no,no,no,2,no
282,745,4500,4,2,1,no,no,yes,no,yes,2,no
283,900,4100,3,2,3,yes,no,no,no,yes,2,no
284,450,6750,2,1,1,yes,no,no,no,no,0,no
285,450,9000,3,1,2,yes,no,no,no,no,2,no
286,650,2550,3,1,2,yes,no,yes,no,no,0,no
287,550,7152,3,1,2,yes,no,no,no,yes,0,no
288,620,6450,4,1,2,yes,no,no,no,no,0,no
289,300,3360,2,1,1,yes,no,no,no,no,1,no
290,340,3264,2,1,1,yes,no,no,no,no,0,no
291,380,4000,3,1,1,yes,no,no,no,no,0,no
292,390,4000,3,1,2,yes,no,no,no,no,1,no
293,450,3069,2,1,1,yes,no,no,no,no,1,no
294,470,4040,2,1,1,yes,no,no,no,no,0,no
295,475,4040,2,1,1,yes,no,no,no,no,1,no
296,490,3185,2,1,1,yes,no,no,no,no,2,no
297,500,5900,2,1,1,yes,no,no,no,no,1,no
298,500,3120,3,1,2,yes,no,no,no,no,1,no
299,529,5450,2,1,1,yes,no,no,no,no,0,no
300,530,4040,2,1,1,yes,no,no,no,no,0,no
301,550,4080,2,1,1,yes,no,no,no,no,0,no
302,560,8080,3,1,1,yes,no,no,no,yes,2,no
303,585,4040,2,1,2,yes,no,no,no,no,1,no
304,595,4080,3,1,2,yes,no,no,no,no,2,no
305,600,5800,3,1,1,yes,no,no,yes,no,2,no
306,640,5885,2,1,1,yes,no,no,no,yes,1,no
307,670,9667,4,2,2,yes,yes,yes,no,no,1,no
308,681,3420,4,2,2,yes,no,no,no,no,0,no
309,700,5800,2,1,1,yes,yes,yes,no,yes,0,no
310,720,7600,4,1,2,yes,no,no,no,yes,2,no
311,575,5400,3,1,1,yes,no,no,no,no,3,no
312,699,4995,4,2,1,yes,no,yes,no,no,0,no
313,700,3000,3,1,2,yes,no,yes,no,yes,0,no
314,750,5500,3,2,1,yes,no,yes,no,no,0,no
315,769,6450,3,2,1,yes,yes,yes,yes,no,0,no
316,780,6210,4,1,4,yes,yes,no,no,yes,0,no
317,800,5000,3,1,4,yes,no,no,no,no,0,no
318,820,5000,3,1,3,yes,no,no,no,yes,0,no
319,830,5828,4,1,4,yes,yes,no,no,no,0,no
320,830,5200,3,1,3,yes,no,no,no,yes,0,no
321,839,5500,3,1,3,yes,yes,no,no,yes,1,no
322,885,6350,3,2,3,yes,yes,no,no,yes,0,no
323,930,8250,3,2,3,yes,no,no,no,yes,0,no
324,980,6000,3,1,1,yes,no,no,no,yes,1,no
325,985,7700,3,2,1,yes,no,no,no,no,2,no
326,990,8880,3,2,2,yes,no,yes,no,yes,1,no
327,1010,8880,2,1,1,yes,no,no,no,yes,1,no
328,1100,6480,3,2,4,yes,no,no,no,yes,2,no
329,1154.42,7000,3,2,4,yes,no,no,no,yes,2,no
330,1200,8875,3,1,1,yes,no,no,no,no,1,no
331,1240,7155,3,2,1,yes,yes,yes,no,yes,2,no
332,1750,8960,4,4,4,yes,no,no,no,yes,3,no
333,500,7350,2,1,1,yes,no,no,no,no,1,no
334,550,3850,2,1,1,yes,no,no,no,no,0,no
335,600,7000,3,1,1,yes,no,no,no,no,3,no
336,610,7770,2,1,1,yes,no,no,no,no,1,no
337,1060,7440,3,2,1,yes,yes,yes,no,yes,0,yes
338,1550,7500,3,3,1,yes,no,yes,no,yes,2,yes
339,1410,8100,4,1,2,yes,yes,yes,no,yes,2,yes
340,625,3900,3,1,2,yes,no,no,no,no,0,no
341,700,2970,3,1,3,yes,no,no,no,no,0,no
342,730,3000,3,1,2,yes,no,yes,no,no,0,no
343,800,10500,2,1,1,yes,no,no,no,no,1,no
344,800,5500,3,2,2,yes,no,no,no,no,1,no
345,880,4500,3,1,4,yes,no,no,no,yes,0,no
346,490,3850,3,1,1,yes,no,no,no,no,0,no
347,520,4130,3,2,2,yes,no,no,no,no,2,no
348,595,4046,3,1,2,yes,no,yes,no,no,1,no
349,600,4079,3,1,3,yes,no,no,no,no,0,no
350,640,4000,3,1,2,yes,no,no,no,no,2,no
351,645,9860,3,1,1,yes,no,no,no,no,0,no
352,685,7000,3,1,2,yes,no,yes,no,no,0,no
353,785,7980,3,1,1,yes,no,no,no,no,2,no
354,860,6800,2,1,1,yes,yes,yes,no,no,2,no
355,869,4300,6,2,2,yes,no,no,no,no,0,no
356,750,10269,3,1,1,yes,no,no,no,no,1,yes
357,780,6100,3,1,3,yes,yes,no,no,yes,0,yes
358,950,6420,3,2,3,yes,no,no,no,yes,0,yes
359,970,12090,4,2,2,yes,no,no,no,no,2,yes
360,1070,6600,3,1,4,yes,no,no,no,yes,3,yes
361,1300,6600,4,2,2,yes,yes,yes,no,yes,1,yes
362,1450,8580,4,3,4,yes,no,no,no,yes,2,yes
363,1750,9960,3,2,2,yes,no,yes,no,no,2,yes
364,720,10700,3,1,2,yes,yes,yes,no,no,0,no
365,849,15600,3,1,1,yes,no,no,no,yes,2,no
366,990,13200,2,1,1,yes,no,yes,yes,no,1,no
367,1140,9000,4,2,4,yes,no,no,no,yes,2,no
368,1200,7950,5,2,2,yes,no,yes,yes,no,2,no
369,1450,16200,5,3,2,yes,no,no,no,no,0,no
370,790,6100,3,2,1,yes,no,yes,no,no,2,yes
371,820,6360,3,1,1,yes,yes,yes,no,yes,2,yes
372,850,6420,3,1,1,yes,no,yes,no,yes,0,yes
373,1005,6360,4,2,3,yes,no,no,no,yes,2,yes
374,1220,6540,4,2,2,yes,yes,yes,no,yes,2,yes
375,1265,6420,3,2,2,yes,no,no,no,yes,1,yes
376,1330,6550,4,2,2,yes,no,no,no,yes,1,yes
377,1400,5750,3,2,4,yes,yes,no,no,yes,1,yes
378,1900,7420,4,2,3,yes,no,no,no,yes,2,yes
379,840,7160,3,1,1,yes,no,yes,no,no,2,yes
380,970,4000,3,2,2,yes,no,yes,no,yes,0,yes
381,1035,9000,4,2,4,yes,yes,no,no,yes,1,yes
382,1125,6550,3,1,2,yes,no,yes,no,yes,0,yes
383,1400,13200,3,1,2,yes,no,yes,no,yes,2,yes
384,747,7085,3,1,1,yes,yes,yes,no,no,2,yes
385,780,6600,4,2,2,yes,yes,yes,no,no,0,yes
386,789,6900,3,1,1,yes,yes,yes,no,no,0,yes
387,839,11460,3,1,3,yes,no,no,no,no,2,yes
388,850,7020,3,1,1,yes,no,yes,no,yes,2,yes
389,850,6540,3,1,1,yes,yes,yes,no,no,2,yes
390,860,8000,3,1,1,yes,yes,yes,no,yes,2,yes
391,869,9620,3,1,1,yes,no,yes,no,no,2,yes
392,945,10500,3,2,1,yes,no,yes,no,yes,1,yes
393,960,5020,3,1,4,yes,no,no,no,yes,0,yes
394,1060,7440,3,2,4,yes,no,no,no,no,1,yes
395,720,6600,3,1,1,yes,yes,yes,no,no,0,yes
396,745,7200,3,1,2,yes,yes,yes,no,no,1,yes
397,770,6710,3,2,2,yes,yes,yes,no,no,1,yes
398,807.5,6660,4,2,2,yes,yes,yes,no,no,1,yes
399,829,7000,3,1,1,yes,no,yes,no,no,2,yes
400,850,7231,3,1,2,yes,yes,yes,no,yes,0,yes
401,925,7410,3,1,1,yes,yes,yes,no,yes,2,yes
402,760,7800,3,1,1,yes,no,yes,no,yes,2,yes
403,775,6825,3,1,1,yes,yes,yes,no,yes,0,yes
404,800,6360,3,1,3,yes,no,no,no,no,0,yes
405,800,6600,4,2,1,yes,no,yes,no,no,0,yes
406,860,6900,3,2,1,yes,yes,yes,no,no,0,yes
407,870,6600,3,1,1,yes,yes,yes,no,no,2,yes
408,875,6420,3,1,3,yes,no,yes,no,no,0,yes
409,890,6600,3,2,1,yes,no,yes,no,yes,0,yes
410,899,6600,3,2,3,yes,no,no,no,yes,0,yes
411,900,9000,3,1,1,yes,no,yes,no,no,1,yes
412,950,6500,3,2,3,yes,no,no,no,yes,0,yes
413,1120,6360,3,2,4,yes,no,no,no,yes,0,yes
414,319,5300,3,1,1,no,no,no,no,yes,0,yes
415,520,2850,3,2,2,no,no,yes,no,no,0,yes
416,900,6400,3,1,1,yes,yes,yes,no,yes,1,yes
417,1000,11175,3,1,1,yes,no,yes,no,yes,1,yes
418,917,6750,2,1,1,yes,yes,yes,no,no,2,yes
419,1745,7500,4,2,2,yes,no,yes,no,yes,3,yes
420,947,6000,3,1,2,yes,no,no,yes,no,1,yes
421,680,10240,2,1,1,yes,no,no,no,yes,2,yes
422,800,5136,3,1,2,yes,yes,yes,no,yes,0,yes
423,611,3400,3,1,2,yes,no,yes,no,no,2,yes
424,629,2880,3,1,2,yes,no,no,no,no,0,yes
425,655,3840,3,1,2,yes,no,no,no,no,1,yes
426,660,2870,2,1,2,yes,yes,yes,no,no,0,yes
427,495,5320,2,1,1,yes,no,no,no,no,1,yes
428,500,3512,2,1,1,yes,no,no,no,no,1,yes
429,535,3480,2,1,1,yes,no,no,no,no,0,yes
430,585.5,3600,3,1,1,yes,no,yes,no,yes,0,yes
431,645,3520,2,1,2,yes,no,no,no,no,0,yes
432,650,5320,3,1,2,yes,yes,yes,no,no,0,yes
433,690,6040,3,1,1,yes,no,no,no,no,2,yes
434,730,11410,2,1,2,yes,no,no,no,no,0,yes
435,750,8400,3,1,2,yes,yes,yes,no,yes,2,yes
436,750,5300,4,2,1,yes,no,no,no,yes,0,yes
437,1320,7800,3,2,2,yes,no,no,no,no,0,yes
438,600,3520,3,1,2,yes,no,no,no,no,0,yes
439,650,5360,3,1,2,yes,no,no,no,no,2,yes
440,690,6862,3,1,2,yes,no,no,no,yes,2,yes
441,519,3520,3,1,1,yes,no,no,no,no,2,yes
442,570,4050,2,1,2,yes,yes,yes,no,no,0,yes
443,650,3520,3,1,1,yes,no,no,no,no,0,yes
444,795,4400,4,1,2,yes,no,no,no,yes,2,yes
445,725,5720,2,1,2,yes,no,no,no,yes,0,yes
446,1049,11440,4,1,2,yes,no,yes,no,no,1,yes
447,1149,7482,3,2,3,yes,no,no,yes,no,1,yes
448,1200,5500,4,2,2,yes,no,yes,no,yes,1,yes
449,580,4320,3,1,2,yes,no,no,no,no,2,yes
450,670,5400,2,1,2,yes,no,no,no,no,0,yes
451,670,4320,3,1,1,yes,no,no,no,no,0,yes
452,690,4815,2,1,1,yes,no,no,no,yes,0,yes
453,730,6100,3,1,1,yes,no,yes,no,yes,0,yes
454,735,7980,3,1,1,yes,no,no,no,no,1,yes
455,749,6050,3,1,1,yes,no,yes,no,no,0,yes
456,750,3800,3,1,2,yes,yes,yes,no,no,1,yes
457,795,5400,5,1,2,yes,yes,yes,no,yes,0,yes
458,1209,6000,3,2,4,yes,yes,yes,no,yes,0,yes
459,445.55,2398,3,1,1,yes,no,no,no,no,0,yes
460,470,2145,3,1,2,yes,no,yes,no,no,0,yes
461,476,2145,3,1,2,yes,no,yes,no,no,0,yes
462,490,2145,3,1,3,yes,no,no,no,no,0,yes
463,490,2610,3,1,2,yes,no,yes,no,no,0,yes
464,490,1950,3,2,2,yes,no,yes,no,no,0,yes
465,495,2145,3,1,3,yes,no,no,no,no,0,yes
466,520,2275,3,1,3,yes,no,no,yes,yes,0,yes
467,540,2856,3,1,3,yes,no,no,no,no,0,yes
468,550,2015,3,1,2,yes,no,yes,no,no,0,yes
469,550,2176,2,1,2,yes,yes,no,no,no,0,yes
470,560,2145,4,2,1,yes,no,yes,no,no,0,yes
471,600,2145,3,1,3,yes,no,no,no,no,1,yes
472,605,2787,3,1,1,yes,no,yes,no,no,0,yes
473,500,9500,3,1,2,yes,no,no,no,no,3,yes
474,649,4990,4,2,2,yes,yes,yes,no,no,0,yes
475,930,6670,3,1,3,yes,no,yes,no,no,0,yes
476,850,6254,4,2,1,yes,no,yes,no,no,1,yes
477,615,10360,2,1,1,yes,no,no,no,no,1,yes
